bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
01,01001,2,0,0,2,51,33,2020-06-13 12:15:00
01,01002,5,0,0,3,132,123,2020-06-13 12:15:00
01,01003,2,0,0,2,122,121,2020-06-13 12:15:00
01,01004,1,0,0,1,19,21,2020-06-13 12:15:00
01,01051,1,1,1,1,18,38,2020-06-13 12:15:00
01,01053,2,0,0,2,8,16,2020-06-13 12:15:00
01,01054,3,0,0,3,22,20,2020-06-13 12:15:00
01,01055,3,0,0,3,16,36,2020-06-13 12:15:00
01,01056,2,0,0,2,12,23,2020-06-13 12:15:00
01,01057,1,0,0,1,6,6,2020-06-13 12:15:00
01,01058,3,0,0,3,16,34,2020-06-13 12:15:00
01,01059,1,1,0,1,11,12,2020-06-13 12:15:00
01,01060,4,0,0,4,60,74,2020-06-13 12:15:00
01,01061,1,0,0,1,16,22,2020-06-13 12:15:00
01,01062,3,0,0,3,32,28,2020-06-13 12:15:00
02,02000,28,14,11,24,374,591,2020-06-13 12:15:00
03,03101,5,0,0,5,63,94,2020-06-13 12:15:00
03,03102,2,0,0,2,8,19,2020-06-13 12:15:00
03,03103,1,3,0,1,25,23,2020-06-13 12:15:00
03,03151,2,0,0,2,6,30,2020-06-13 12:15:00
03,03153,3,0,0,3,48,41,2020-06-13 12:15:00
03,03154,1,0,0,1,19,15,2020-06-13 12:15:00
03,03155,2,1,0,2,8,14,2020-06-13 12:15:00
03,03157,1,0,0,1,5,16,2020-06-13 12:15:00
03,03158,1,1,1,1,7,9,2020-06-13 12:15:00
03,03159,8,5,2,7,76,138,2020-06-13 12:15:00
03,03241,16,12,11,16,153,339,2020-06-13 12:15:00
03,03251,3,0,0,3,12,1,2020-06-13 12:15:00
03,03252,4,1,1,4,13,58,2020-06-13 12:15:00
03,03254,5,0,0,4,35,63,2020-06-13 12:15:00
03,03255,1,0,0,1,4,10,2020-06-13 12:15:00
