Meldedatum,Altersgruppe0-17,Altersgruppe18-29,Altersgruppe30-39,Altersgruppe40-49,Altersgruppe50-59,Altersgruppe60-69,Altersgruppe70-79,Altersgruppe80+
2021-04-29,14,24,75,179,505,751,657,204
2021-04-30,13,30,94,248,687,958,838,255
2021-05-01,11,35,90,279,739,1066,931,275
2021-05-02,10,41,105,296,771,1096,956,281
2021-05-03,10,38,116,299,780,1157,994,315
2021-05-04,9,38,112,296,807,1156,1027,320
2021-05-05,10,33,116,291,804,1155,1028,311
2021-05-06,10,39,130,353,936,1371,1145,326
2021-05-07,10,38,128,350,909,1328,1102,305
2021-05-08,11,38,118,326,893,1310,1087,308
2021-05-09,14,36,113,317,892,1287,1095,304
2021-05-10,11,43,110,315,898,1304,1109,312
2021-05-11,11,39,105,303,868,1273,1077,312
2021-05-12,13,35,103,286,867,1228,1064,296
2021-05-13,11,38,110,300,856,1228,1065,291
2021-05-14,7,37,99,291,805,1155,1029,279
2021-05-15,6,41,97,276,776,1119,1000,250
2021-05-16,11,41,96,279,766,1134,982,240
2021-05-17,13,40,99,273,758,1114,961,250
2021-05-18,13,40,93,272,727,1069,916,237
2021-05-19,14,34,90,259,689,1019,889,224
2021-05-20,14,39,90,264,754,1058,866,237
2021-05-21,13,37,84,249,664,1014,823,217
2021-05-22,14,36,75,235,660,960,784,218
2021-05-23,12,33,73,234,651,957,768,210
2021-05-24,12,33,67,224,657,929,755,207
2021-05-25,14,39,72,211,626,901,741,205
2021-05-26,10,36,69,196,582,845,697,190
2021-05-27,10,33,70,211,562,837,678,186
2021-05-28,6,33,62,202,517,788,622,165
2021-05-29,5,31,61,193,492,744,575,153
2021-05-30,5,31,58,188,470,722,563,141
2021-05-31,5,31,59,186,475,720,541,142
2021-06-01,4,29,60,164,450,686,505,120
2021-06-02,4,29,56,151,422,650,446,103
2021-06-03,6,25,64,151,432,675,444,112
2021-06-04,7,21,55,136,390,622,412,107
2021-06-05,7,18,57,132,379,583,393,104
2021-06-06,7,20,57,136,378,560,379,94
2021-06-07,6,23,56,139,367,536,369,93
2021-06-08,6,22,50,130,346,523,352,83
2021-06-09,7,22,51,120,337,496,327,78
2021-06-10,8,21,55,129,329,493,327,80
2021-06-11,7,17,49,110,283,454,299,71
2021-06-12,7,15,43,104,266,425,286,62
2021-06-13,8,15,45,100,264,420,286,64
2021-06-14,8,17,47,98,256,395,261,64
2021-06-15,6,14,42,92,243,368,245,58
2021-06-16,5,15,41,91,235,343,230,52
2021-06-17,4,16,44,98,238,357,218,47
2021-06-18,4,11,37,91,211,311,192,44
2021-06-19,4,10,36,86,201,288,183,47
2021-06-20,4,10,37,81,192,277,173,47
2021-06-21,4,8,35,80,187,260,165,44
2021-06-22,5,10,31,76,174,246,151,41
2021-06-23,4,10,30,76,160,242,145,38
2021-06-24,3,12,32,77,169,263,142,35
2021-06-25,4,8,26,70,150,223,130,32
2021-06-26,4,5,24,71,152,215,117,28
2021-06-27,5,5,22,69,154,207,114,31
2021-06-28,6,7,23,68,151,205,112,27
2021-06-29,4,7,22,66,148,194,113,20
2021-06-30,3,8,19,62,132,178,108,18
2021-07-01,2,14,23,62,142,196,104,19
2021-07-02,2,10,21,58,122,175,95,19
2021-07-03,3,11,21,55,113,175,94,17
2021-07-04,3,11,20,55,114,174,93,15
2021-07-05,2,11,16,52,113,159,91,16
2021-07-06,3,11,18,49,106,156,87,17
2021-07-07,2,11,15,51,108,152,87,14
2021-07-08,3,12,16,54,114,165,84,13
2021-07-09,3,8,13,47,101,148,80,14
2021-07-10,2,8,13,45,99,141,74,14
2021-07-11,2,9,15,43,93,138,72,14
2021-07-12,2,9,15,39,97,143,80,16
2021-07-13,2,8,13,37,87,137,73,17
2021-07-14,4,9,13,36,86,130,72,16
2021-07-15,3,11,15,37,94,138,74,17
2021-07-16,3,8,15,35,81,120,69,17
2021-07-17,3,7,15,33,85,113,64,18
2021-07-18,2,7,16,33,85,113,66,17
2021-07-19,5,10,14,34,84,115,63,12
2021-07-20,4,11,15,32,80,114,63,11
2021-07-21,4,12,20,33,74,109,62,8
2021-07-22,4,16,19,37,82,117,62,8
2021-07-23,3,14,20,37,69,103,66,12
2021-07-24,3,15,19,35,69,105,64,11
2021-07-25,4,14,21,36,72,107,69,16
2021-07-26,4,11,24,37,76,101,68,19
2021-07-27,3,10,21,37,77,109,67,15
2021-07-28,4,6,22,35,81,97,68,15
2021-07-29,3,8,24,33,88,104,67,13
2021-07-30,3,6,16,34,85,91,73,13
2021-07-31,4,6,18,36,89,93,76,14
2021-08-01,4,7,20,36,86,93,76,13
2021-08-02,4,8,21,39,86,96,79,17
2021-08-03,3,7,22,39,88,98,71,19
2021-08-04,4,11,24,43,92,97,72,19
2021-08-05,3,13,28,43,96,110,69,17
2021-08-06,4,15,24,43,87,103,69,22
2021-08-07,7,16,23,50,93,104,73,23
2021-08-08,7,17,25,57,95,108,71,23
2021-08-09,6,16,24,57,100,113,79,24
2021-08-10,6,13,28,54,94,103,84,24
2021-08-11,6,13,27,57,95,104,85,31
2021-08-12,8,17,31,70,101,118,89,25
2021-08-13,7,15,32,72,100,106,83,26
2021-08-14,8,15,33,78,98,109,82,28
2021-08-15,9,19,36,80,105,113,78,28
2021-08-16,10,17,37,86,113,127,77,33
2021-08-17,9,17,41,88,124,133,77,38
2021-08-18,10,20,45,95,132,141,82,33
2021-08-19,9,22,54,105,137,151,88,38
